,Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Job_Category,Salary_In_Rupees
0,2020,Data Scientist,Mid,FT,DE,L,0,Data Science,"6,352,250.00"
1,2020,Machine Learning Scientist,Senior,FT,JP,S,0,Machine Learning,"20,688,083.33"
2,2020,Big Data Engineer,Senior,FT,GB,M,50,Data Engineering,"8,675,000.00"
3,2020,Product Data Analyst,Mid,FT,HN,S,0,Data Analytics,"1,591,416.67"
4,2020,Machine Learning Engineer,Senior,FT,US,L,50,Machine Learning,"11,935,416.67"
5,2020,Data Analyst,Entry,FT,US,L,100,Data Analytics,"5,729,000.00"
6,2020,Lead Data Scientist,Senior,FT,US,S,100,Data Science,"15,118,166.67"
7,2020,Data Scientist,Mid,FT,HU,L,50,Data Science,"2,843,416.67"
8,2020,Business Data Analyst,Mid,FT,US,L,100,Data Analytics,"10,741,916.67"
9,2020,Lead Data Engineer,Senior,FT,NZ,S,50,Data Engineering,"9,946,166.67"
10,2020,Data Scientist,Entry,FT,FR,S,0,Data Science,"4,083,583.33"
11,2020,Data Scientist,Mid,FT,IN,L,0,Data Science,"3,221,083.33"
12,2020,Data Scientist,Entry,FT,FR,M,0,Data Science,"3,176,083.33"
13,2020,Lead Data Analyst,Mid,FT,US,L,100,Data Analytics,"6,922,583.33"
14,2020,Data Analyst,Mid,FT,US,L,100,Data Analytics,"6,763,416.67"
15,2020,Data Analyst,Mid,FT,PK,L,50,Data Analytics,"636,583.33"
16,2020,Data Engineer,Entry,FT,JP,S,100,Data Engineering,"3,317,166.67"
17,2020,Big Data Engineer,Senior,FT,PL,S,100,Data Engineering,"9,074,666.67"
18,2020,Data Science Consultant,Entry,FT,IN,M,50,Consultant,"454,083.33"
19,2020,Lead Data Engineer,Mid,FT,PT,M,100,Data Engineering,"4,455,916.67"
20,2020,Machine Learning Engineer,Mid,FT,CN,M,0,Machine Learning,"3,447,833.33"
21,2020,Product Data Analyst,Mid,FT,IN,L,100,Data Analytics,"483,166.67"
22,2020,Data Engineer,Senior,FT,GR,L,50,Data Engineering,"3,811,333.33"
23,2020,BI Data Analyst,Mid,FT,US,M,0,Data Analytics,"7,797,833.33"
24,2020,Lead Data Scientist,Mid,FT,AE,L,0,Data Science,"9,150,500.00"
25,2020,Director of Data Science,Executive,FT,US,L,100,Managerial,"25,860,083.33"
26,2020,Research Scientist,Entry,FT,NL,L,50,Other,"3,341,916.67"
27,2020,Data Engineer,Senior,FT,MX,S,0,Data Engineering,"2,666,416.67"
28,2020,Business Data Analyst,Entry,CT,US,L,100,Data Analytics,"7,956,916.67"
29,2020,Machine Learning Manager,Senior,FT,CA,L,50,Machine Learning,"9,317,916.67"
30,2020,Data Engineering Manager,Mid,FT,DE,S,100,Data Engineering,"4,718,750.00"
31,2020,Big Data Engineer,Entry,FT,US,L,100,Data Engineering,"5,569,833.33"
32,2020,Data Scientist,Senior,FT,GR,L,100,Data Science,"5,444,750.00"
33,2020,Research Scientist,Mid,FT,US,M,0,Other,"35,806,250.00"
34,2020,Data Analyst,Mid,FT,FR,L,50,Data Analytics,"3,720,583.33"
35,2020,Data Engineer,Mid,FT,AT,L,50,Data Engineering,"5,898,500.00"
36,2020,Data Science Consultant,Mid,FT,US,L,100,Consultant,"8,195,666.67"
37,2020,Machine Learning Engineer,Entry,FT,US,L,50,Machine Learning,"19,892,333.33"
38,2020,Data Analyst,Entry,FT,NG,S,100,Data Analytics,"795,666.67"
39,2020,Machine Learning Engineer,Entry,FT,US,S,100,Machine Learning,"10,980,583.33"
40,2020,Data Scientist,Mid,FT,PH,S,100,Data Science,"3,641,083.33"
41,2020,Data Engineering Manager,Executive,FT,ES,L,50,Data Engineering,"6,352,250.00"
42,2020,Machine Learning Infrastructure Engineer,Mid,FT,PT,M,0,Data Engineering,"3,992,833.33"
43,2020,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,434,333.33"
44,2020,Data Engineer,Mid,FT,GB,L,50,Data Engineering,"8,981,166.67"
45,2020,ML Engineer,Entry,PT,DE,S,100,Machine Learning,"1,270,416.67"
46,2020,Data Scientist,Mid,FT,GB,S,100,Data Science,"6,123,500.00"
47,2020,Data Engineer,Senior,FT,US,L,100,Data Engineering,"14,959,083.33"
48,2020,Data Scientist,Mid,FT,US,L,100,Data Science,"8,354,833.33"
49,2020,Data Engineer,Mid,FT,FR,L,50,Data Engineering,"5,580,916.67"
50,2020,Data Analyst,Entry,FT,IN,S,0,Data Analytics,"483,166.67"
51,2020,Data Analyst,Entry,FT,US,L,100,Data Analytics,"7,240,833.33"
52,2020,AI Scientist,Entry,FT,DK,S,50,Machine Learning,"3,651,916.67"
53,2020,Data Engineer,Entry,FT,PK,L,100,Data Engineering,"4,355,833.33"
54,2020,Computer Vision Engineer,Senior,FL,RU,S,100,Other,"4,774,166.67"
55,2020,Principal Data Scientist,Senior,FT,DE,M,100,Data Science,"11,797,083.33"
56,2020,Data Scientist,Mid,FT,ES,M,100,Data Science,"3,085,416.67"
57,2020,Data Scientist,Mid,FT,US,M,100,Data Science,"9,389,166.67"
58,2020,Data Scientist,Senior,FT,US,L,50,Data Science,"9,548,333.33"
59,2020,Data Scientist,Mid,FT,US,M,100,Data Science,"11,008,416.67"
60,2020,Data Engineer,Mid,FT,US,L,100,Data Engineering,"8,752,666.67"
61,2020,Data Engineer,Mid,FT,ES,M,100,Data Engineering,"10,407,666.67"
62,2020,Data Scientist,Entry,PT,IT,S,50,Data Science,"1,724,166.67"
63,2020,Data Scientist,Senior,FT,US,L,100,Data Science,"32,782,666.67"
64,2020,Machine Learning Engineer,Senior,FT,HR,S,100,Machine Learning,"3,629,833.33"
65,2020,Data Scientist,Entry,FT,DE,S,50,Data Science,"4,991,083.33"
66,2020,Data Scientist,Entry,FT,DE,S,0,Data Science,"3,920,250.00"
67,2020,Data Science Manager,Senior,FT,US,M,100,Managerial,"15,134,083.33"
68,2020,Data Scientist,Entry,FT,US,S,100,Data Science,"8,354,833.33"
69,2020,Data Scientist,Senior,FT,AT,S,0,Data Science,"7,259,666.67"
70,2020,Data Scientist,Mid,FT,FR,S,50,Data Science,"4,991,083.33"
71,2020,Data Scientist,Mid,FT,FR,S,50,Data Science,"3,357,583.33"
72,2021,Research Scientist,Entry,FT,GB,L,50,Other,"6,566,750.00"
