index,id,acousticness
0,0w0D8H1ubRerC,0.972
12,4IyK8htJJzbRj,0.988
115,0JIPxQiFYgnPf,0.958
144,0pyKuk3bYFSzP,0.971
190,5DLA620cB8o3Y,0.99
205,1m4ZjbibTvvmY,0.964
236,2ZrF3UfwS50CK,0.988
268,2G2b5w0IiHWmv,0.963
349,03o0bsrdp7yim,0.982
425,06xNkl12TrxwG,0.995
431,2G5hAbyjLoY1w,0.975
434,5OojmQ36TXkfL,0.984
445,1YYTAOi1YMxmG,0.981
493,33e8JtboPPzbz,0.967
525,586rOcAzOHkpJ,0.979
534,2d6ml9Qkx8r4E,0.992
545,2Mqrf0BFCP1M6,0.979
575,4hbvrHgfZ8lqF,0.989
590,4JsMpgsep6Xpu,0.994
614,1tUeaAwcZK4S1,0.988
625,3JQaDnn7sdtIn,0.993
683,7dP42zpNCIsEH,0.958
773,4O20FRyWVCr4t,0.958
935,3W7xIbNEaW8G6,0.961
950,453spNn4mGdYE,0.974
967,2OWOkkAQv7KFl,0.982
988,3bOrCXvrwO6CF,0.952
989,2eajPmnVrhSsG,0.979
1056,4ksxLnn1ymLGR,0.996
1082,6EZMZ5LIMiZZe,0.995
1129,6iw32k0OUKHil,0.965
1216,7qLs0IyUn6Trq,0.979
1269,1lOVilzLQuYY2,0.991
1305,3oRuCzqdduzZ2,0.987
1317,5Wjf9NsW6QCmB,0.961
1352,3XyU03WycJQ02,0.977
1457,2Ai5UUXyxaulV,0.995
1470,3KG9I4JXpDwNQ,0.996
1491,70nfm7IEXnFdx,0.991
1502,2kyEgPaAW8wdp,0.993
1517,5xcYuTciYwyCD,0.98
1559,7fkXzzIVo98Cg,0.956
1621,5eG8QuQKOBvDe,0.965
1631,0sDqqcELNvGWI,0.995
1637,3toYHht60pj16,0.98
1641,1Vk4yRsz0iBzD,0.976
1654,5PYHriludkxUA,0.989
1668,2XrM7sxDMFn2L,0.961
1711,5tdcH4SoS9ViD,0.994
1715,5VnaOLeK1lKfU,0.979
1772,35h1sceqSdzCf,0.992
1908,7DtluO7XUoL5w,0.987
1923,19rahpLlANnHr,0.972
1950,7xD5j8ZCGDAPT,0.951
1953,7vfYsS34eZojV,0.977
1958,0vpo0LIlSsiqI,0.963
1964,10zmtHvaMOZKQ,0.954
1972,2QDMQcbiWYlyu,0.969
1983,65AHFH7pRxxMr,0.961
2118,6JPfz2RTDVYqN,0.98
2129,6z5Pd7UoLA6e1,0.996
2142,3t3c70vtCfM9P,0.987
2158,39CbxPVnwNbbi,0.994
2175,3cEVhx8rkM0Fl,0.967
2179,1MOAgfNFslmaH,0.957
2186,1woA76rgRgf00,0.978
2238,2Qhkk4hPdkt3N,0.962
2256,2ujV4s7kebg7k,0.953
2273,0obKFDzE3dlnD,0.97
2351,5jahnGcLiUJ53,0.995
