index,id,duration_minutes
34474,5eEj1vkMIqtmvaTk7cS4UC,5.097
10080,0Cyui3k9S61bue3uMkBD9S,3.000
601,71KtwiEpzcn9WxwlaS7ZJY,4.093
9651,7tf64lNC31lWlTsih0nfZf,3.597
40497,4Mpm64J9yqluKaOssgVQ9P,3.294
10019,75e1EYhLzB3mQZQBcRmklN,0.808
40137,2s9NvnrAU9WahyWRa0Ou9m,4.459
31944,32C5of1pAeU7IeEbGiLWAo,2.875
33910,7raciFPVU5VuHmqVbw2c1h,3.476
18341,1XT5VDdxwI2Bx01MxURMcz,5.093
24165,4QhWbupniDd44EDtnh2bFJ,9.882
30725,1KDPWUuA213r6M2WbWUauE,3.684
6258,1PnAx788sAvcI3ZxTlEyX8,3.379
40248,5w2liyrUoMsT0IfYZhFAq7,7.566
2533,3gBo8grQ7vtZGARZO43MeU,2.854
35635,77tdraaU0kGmwqEzBGVhhN,3.629
12990,1J8WH97XXerjrLqOTgoeAx,4.192
20562,4vVzmaBsxXuKrJeMSLRF4y,3.525
27058,2sFp6E7lNBbblJGmUtCfFH,3.107
11190,0IloOLqyP3llm5F4c4LmX7,5.452
13047,5xNqXLwdG5m5RrJfFkigVW,4.144
15639,08LAyogtI90hvNsyr1Hsdm,5.239
7772,4YEKwC3ipNg9LdR02OL8h2,4.792
24120,6rkAY9rk1NTFB94QxG3LJR,5.122
1525,1r1WtSrPbAOYHE7zwq4eqK,4.347
14905,0kCZ2X6kIXZ5zRMrPx8Usx,2.975
33536,10jdyLaybUVbi8AlJf7nYF,3.247
949,2H9CKpZiLDF223BbwehpDF,4.202
32699,1B17jo7XD3lJ9AtrdE9kUd,4.368
5874,5nZ8MXHhFWzf7dDTuLG1ls,3.769
18210,691NxyycrqSWH5vZ19Jzm2,3.432
24049,26iYJEimPCE0ozDlpj0UFN,3.812
15715,0mK6UUHnQi0Jhu0IB319LO,5.928
30827,6VfY0sgS4j4JpFQH8kk4XA,5.498
16877,0HyTGa3AIPNMKevxgUDA1V,3.459
39418,0FsKQ04gn6CHHOq2ISEm0H,3.965
25299,1rUHLQEmtefobuukC1SVDf,2.355
39614,7wlPnBfcywEctiVWwCdxvn,3.677
15173,1D6eNTsC5ixYBTzBxBx0gL,4.225
22748,4IhKLu7Vk3j2TLmnFPl6To,3.648
25465,4dvQg9sD8k9y4qiEURuj8v,4.034
6425,2YfYTyShcbMFFWaZQXKb5V,3.894
23015,3xVtc7PB4V3AqAfq4Iahli,5.163
6402,0P5qOLfYWTL1tEzCkTCjbE,3.329
31240,4HreNRemFIo8zi38IGFl7U,3.378
24856,2tnVG71enUj33Ic2nFN6kZ,2.627
27980,00cP5rqzL6ZrwMaqTEeGIN,3.492
37738,1I3v23MpvlCQQ7ugP7jkQ0,5.033
36456,7Cb9fYGYtFaANCaqYEOCDC,2.968
3001,4ORbUYpR6MDsJYTHh3xBWH,3.135
