idx	index	artists	name	danceability
27829	27829	['Keith Urban']	Making Memories Of Us	0.687
18748	18748	['Charli XCX']	detonate	0.648
7969	7969	['My Chemical Romance']	Teenagers	0.463
27985	27985	['Asking Alexandria']	The Final Episode (Let's Change Channel)	0.213
30511	30511	['Chance the Rapper', 'Nosaj Thing']	Paranoia	0.472
13765	13765	['Joey + Rory']	When I'm Gone	0.426
12315	12315	['Ben Rector']	I Will Always Be Yours	0.445
36994	36994	['LOCASH']	I Know Somebody	0.505
24340	24340	['Josh Gad']	In Summer - From "Frozen"/Soundtrack Version	0.500
15811	15811	['Redbird']	Ooh La La	0.557
4776	4776	['Lil Wayne']	Carter II	0.669
40139	40139	['Wilson Pickett']	In the Midnight Hour	0.750
36426	36426	['Poison']	Nothin' But A Good Time - Remastered 2006	0.570
30206	30206	["Whitey Morgan and the 78's"]	Bad News	0.673
12674	12674	['Michael Jackson']	Whatever Happens	0.677
37890	37890	['Sufjan Stevens']	The Dress Looks Nice on You	0.696
7572	7572	['Kendrick Lamar']	Sing About Me, I'm Dying Of Thirst	0.654
15407	15407	['Johnny Depp', 'Alan Rickman']	Pretty Women	0.292
10818	10818	['A.B. Quintanilla III Y Los Kumbia Kings']	Desde Que No Estás Aquí	0.719
22856	22856	['DaBaby', 'Roddy Ricch']	ROCKSTAR (feat. Roddy Ricch)	0.746
41481	41481	['Summer Walker']	Body	0.555
28039	28039	['Kenny Chesney']	The Good Stuff	0.586
28286	28286	['Calvin Harris', 'Ayah Marar']	Thinking About You (feat. Ayah Marar)	0.725
27446	27446	['blink-182']	Down	0.550
21441	21441	['Bubba Sparxxx', 'Ying Yang Twins', 'Mr. Coll...	Ms. New Booty	0.640
30758	30758	['Kid Cudi', 'Travis Scott']	Baptized In Fire	0.673
1003	1003	['TobyMac']	City On Our Knees	0.507
18851	18851	['Edvard Grieg', 'Mikhail Pletnev']	Lyric Pieces Book II, Op.38: 1. Berceuse	0.366
40548	40548	['Sweet Trip']	Milk	0.336
38359	38359	['Imran Khan']	Amplifier	0.727
36579	36579	['Selena Gomez']	Shake It Up - From "Shake It Up"	0.724
26939	26939	['Post Malone']	Over Now	0.569
