row  Chick  Diet  weight
0        1     1      42
1        1     1      51
2        1     1      59
3        1     1      64
4        1     1      76
5        1     1      93
6        1     1     106
7        1     1     125
8        1     1     149
9        1     1     171
10       1     1     199
11       1     1     205
12       2     1      40
13       2     1      49
14       2     1      58
15       2     1      72
16       2     1      84
17       2     1     103
18       2     1     122
19       2     1     138
20       2     1     162
21       2     1     187
22       2     1     209
23       2     1     215
24       3     1      43
25       3     1      39
26       3     1      55
27       3     1      67
28       3     1      84
29       3     1      99
30       3     1     115
31       3     1     138
32       3     1     163
33       3     1     187
34       3     1     198
35       3     1     202
36       4     1      42
37       4     1      49
38       4     1      56
39       4     1      67
40       4     1      74
41       4     1      87
42       4     1     102
43       4     1     108
44       4     1     136
45       4     1     154
46       4     1     160
47       4     1     157
48       5     1      41
49       5     1      42
50       5     1      48
51       5     1      60
52       5     1      79
53       5     1     106
54       5     1     141
55       5     1     164
56       5     1     197
57       5     1     199
58       5     1     220
59       5     1     223
60       6     1      41
61       6     1      49
62       6     1      59
63       6     1      74
64       6     1      97
65       6     1     124
66       6     1     141
67       6     1     148
68       6     1     155
69       6     1     160
70       6     1     160
71       6     1     157
72       7     1      41
73       7     1      49
74       7     1      57
75       7     1      71
76       7     1      89
77       7     1     112
78       7     1     146
79       7     1     174
80       7     1     218
81       7     1     250
82       7     1     288
83       7     1     305
84       8     1      42
85       8     1      50
86       8     1      61
87       8     1      71
88       8     1      84
89       8     1      93
90       8     1     110
91       8     1     116
92       8     1     126
93       8     1     134
94       8     1     125
95       9     1      42
96       9     1      51
97       9     1      59
98       9     1      68
99       9     1      85
100      9     1      96
101      9     1      90
102      9     1      92
103      9     1      93
104      9     1     100
105      9     1     100
106      9     1      98
107     10     1      41
108     10     1      44
109     10     1      52
110     10     1      63
111     10     1      74
112     10     1      81
113     10     1      89
114     10     1      96
115     10     1     101
116     10     1     112
117     10     1     120
118     10     1     124
119     11     1      43
120     11     1      51
121     11     1      63
122     11     1      84
