row   net_wealth  service_involvement  high_wealth
0     112820.451                   19            0
1     106850.675                   19            0
2     118590.331                   19            0
3     184323.773                   12            0
4     166439.516                   10            0
5     200749.456                   15            0
6     186158.304                   10            0
7     185118.417                   13            0
8     102997.585                   19            0
9     198130.253                    9            0
10    141997.272                   14            0
11    128524.267                    8            0
12    139255.807                    8            0
13    149705.718                   15            0
14    138855.702                   18            0
15    114170.096                    8            0
16    152579.998                    7            0
17     70526.663                   16            0
18    148186.656                   10            0
19    141884.395                   17            0
20    160669.584                    9            0
21     71670.998                   12            0
22    190516.292                    9            0
23    174276.816                   17            0
24    144553.686                   19            0
25    169421.613                   16            0
26    203334.309                    5            0
27    129501.386                    6            0
28    142048.400                   13            0
29    115233.627                    9            0
30     77004.845                   17            0
31    102757.100                   15            0
32    177092.087                   18            0
33    186231.825                   10            0
34    213950.522                   16            0
35    133305.117                   18            0
36     91850.085                    5            0
37    105909.832                   14            0
38    164441.580                   18            0
39    128019.393                   13            0
40    137885.210                   15            0
41    111324.142                   12            0
42     99448.364                   17            0
43    157802.688                   13            0
44    137381.728                   10            0
45     99926.503                   12            0
46    188020.319                   17            0
47    111797.743                    9            0
48    168837.766                    9            0
49     54352.159                    7            0
50    133535.678                   12            0
51    118099.793                    9            0
52    102398.472                    5            0
53    142198.356                   17            0
54    119589.665                   16            0
55    163516.408                   18            0
56     85957.170                   10            0
57    181128.002                    9            0
58    151249.377                    9            0
59    114467.599                   15            0
60    191725.927                   13            0
61    201635.545                   14            0
62    152015.365                    7            0
63     53950.842                   18            0
64    156076.669                   11            0
65    122962.881                    5            0
66    127949.965                   13            0
67    163282.266                   12            0
68    150039.669                   11            0
69     90039.523                   17            0
70    182546.202                   19            0
71    210995.530                   10            0
72    164024.526                   18            0
73    199830.650                   15            0
74     81298.151                   16            0
75    145522.649                    7            0
76    121536.552                   14            0
77    157029.592                    5            0
78    100009.434                   12            0
79    262347.352                   13            0
80    203805.449                   14            0
81    109656.688                    9            0
82    194713.214                   11            0
83    232339.910                   16            0
84    114627.684                    6            0
85    125994.687                    9            0
86     90835.794                    8            0
87    183646.694                    5            0
88    201062.961                    8            0
89    195870.616                   19            0
90     69859.926                    9            0
91    161332.615                   13            0
92    207163.440                    6            0
93    181055.733                   16            0
94    209798.657                   16            0
95    164561.034                   15            0
96    150895.723                    8            0
97    131294.939                   10            0
98    185060.313                    8            0
99    175758.788                    6            0
100   186077.970                    6            0
101   162241.712                   17            0
102   100798.803                    8            0
103   167970.531                   19            0
104   133446.505                    7            0
105   177405.170                    7            0
106   144177.701                   18            0
107   197492.649                   17            0
108   176124.750                    8            0
109   124950.250                   17            0
110   223124.892                   15            0
111   140807.790                   16            0
112    26014.890                   18            0
113   159136.922                   17            0
114    99556.402                   16            0
115   134404.382                   19            0
116   190573.216                    5            0
117   157595.838                   15            0
118   148598.524                   12            0
119   129961.676                    9            0
120   180464.201                   11            0
121    76169.620                   17            0
122   153450.228                   13            0
123   148054.516                   14            0
124   226265.208                   19            0
125   153941.360                   13            0
126   130421.417                   14            0
127   126008.034                    8            0
128   188333.792                   14            0
129   163041.816                    8            0
130   124527.531                   10            0
131   132405.577                    9            0
132   141765.267                   19            0
133   138555.055                   18            0
134   186532.013                    9            0
135   178677.724                   17            0
136   186314.144                    5            0
137   126687.800                    6            0
138    81442.362                   17            0
139   139106.681                   11            0
140   164750.028                    7            0
141   133906.114                   12            0
142   128506.932                   14            0
143   231840.854                    5            0
144    77161.767                   15            0
145   134112.402                   15            0
146    88653.372                   14            0
147   124852.086                   17            0
148   213184.539                    9            0
149   200586.591                   10            0
150   104175.799                   11            0
151   143844.763                   15            0
152   209692.744                    6            0
153   205943.748                   14            0
154   100305.571                   15            0
155   144235.043                    8            0
156   102701.456                   12            0
157   142349.698                   12            0
158   120785.099                   15            0
159   119673.580                   16            0
160   165846.443                    6            0
161   150950.577                    5            0
162   208614.746                   13            0
163   132383.209                    5            0
164   142148.616                    7            0
165   120307.144                    5            0
