 row  hr  holiday  workingday  temp   hum  windspeed  instant  mnth  yr  Clear_to_partly_cloudy  Light_Precipitation  Misty
1236  12        0           1  0.72  0.45      0.000    14240     8   1                       1                    0      0
1349   5        0           0  0.64  0.89      0.194    14353     8   1                       1                    0      0
327   15        0           0  0.80  0.55      0.164    13331     7   1                       1                    0      0
104    8        0           1  0.80  0.49      0.134    13108     7   1                       1                    0      0
850   10        0           0  0.80  0.59      0.418    13854     8   1                       1                    0      0
261   21        0           1  0.72  0.58      0.224    13265     7   1                       1                    0      0
814   22        0           1  0.76  0.70      0.254    13818     8   1                       1                    0      0
1074  18        0           1  0.76  0.62      0.284    14078     8   1                       1                    0      0
1319  23        0           1  0.68  0.69      0.090    14323     8   1                       0                    0      1
917    5        0           1  0.68  0.89      0.164    13921     8   1                       0                    0      1
1173  21        0           0  0.66  0.61      0.000    14177     8   1                       1                    0      0
842    2        0           0  0.74  0.70      0.298    13846     8   1                       1                    0      0
1262  14        0           1  0.76  0.45      0.104    14266     8   1                       1                    0      0
656    8        0           0  0.74  0.66      0.164    13660     7   1                       1                    0      0
651    3        0           0  0.72  0.70      0.000    13655     7   1                       1                    0      0
1066  10        0           1  0.70  0.79      0.104    14070     8   1                       1                    0      0
1374   6        0           1  0.62  0.88      0.000    14378     8   1                       1                    0      0
525   21        0           0  0.70  0.79      0.104    13529     7   1                       1                    0      0
409    1        0           1  0.76  0.66      0.104    13413     7   1                       1                    0      0
169    1        0           0  0.82  0.56      0.104    13173     7   1                       1                    0      0
221    5        0           1  0.66  0.83      0.134    13225     7   1                       1                    0      0
302   14        0           1  0.80  0.38      0.000    13306     7   1                       0                    0      1
131   11        0           1  0.84  0.32      0.090    13135     7   1                       1                    0      0
61    13        0           1  0.90  0.25      0.134    13065     7   1                       1                    0      0
1326   6        0           0  0.64  0.78      0.164    14330     8   1                       0                    0      1
1456  16        0           1  0.80  0.43      0.164    14460     8   1                       1                    0      0
895    7        0           1  0.70  0.74      0.134    13899     8   1                       0                    0      1
307   19        0           1  0.74  0.51      0.164    13311     7   1                       1                    0      0
1258  10        0           1  0.70  0.61      0.090    14262     8   1                       1                    0      0
28     4        0           1  0.72  0.54      0.298    13032     7   1                       0                    0      1
185   17        0           0  0.78  0.59      0.000    13189     7   1                       1                    0      0
