 row  count
1236    305
1349     16
327     560
104     550
850     364
261     391
814     202
1074    854
1319    178
917      43
1173    338
842      73
1262    266
656     163
651      43
1066    208
1374    145
525     345
409      16
169     124
221      42
302     369
131     233
61      283
1326     30
1456    482
895     502
307     488
1258    225
28       12
185     270
822      49
1473    398
1183     41
1430    301
1424    808
458      19
547     582
42      730
18      370
623     145
1115    274
147      31
314     101
1440     65
1412    435
320     151
1219    299
988      10
36      257
797      37
1388    416
798     163
1314    736
974     307
1157      9
782     225
31      398
384      53
1318    251
35      201
1158     27
189     207
626      26
103     343
1216    460
848     108
388       7
556       6
385      25
1455    338
1255    553
927     278
935     136
1397     42
569     869
1033     14
310     263
1058     11
252     292
894     179
970     193
650      90
12      433
524     378
316       9
1263    316
671     208
204     266
297     414
529      27
840     153
453     332
1123    677
820      13
13      420
858     229
161     279
805     345
1099    649
659     457
76       16
550     209
949     281
440     657
1075    627
1146    669
512     153
807     380
1292    474
873     276
793      43
1144    488
715     665
809     741
1357    541
356     294
1313    812
233     872
511      38
603       8
1303    425
918     173
1280    707
760     479
1398    147
348     489
911     138
1019    449
985     116
48       53
1474    256
249     328
155     367
203     216
898     250
863      87
624      97
410       8
600      92
613     242
764     513
1014     16
810     671
746      13
633     363
1215    309
1259    267
787     607
394     159
167     148
1201     10
448     358
1354    385
831     489
226     190
668     233
1377    342
352     495
256     411
466     233
1121    897
472     436
156     342
654      50
171      35
930     862
182     312
210     872
721      21
1045    254
891       6
1179     55
429     319
1368     32
308     389
879     274
883     640
351     489
318      35
947     260
1213    291
585     342
319      48
196       2
218      16
116     321
1171    488
1142    328
928     441
875     260
1145    791
960      85
1481    617
1049    818
1402    204
450     777
657     337
1174    261
1411    597
828     547
486      15
1311    350
748       4
69      196
1324     12
188     285
150      31
1096    431
938      14
866       5
502     180
558     190
802     249
708     278
929     858
644     354
627      12
129     304
1400    693
84      494
275     215
65      722
584     788
1090    233
735     144
1166    598
309     299
141     300
841      87
260     483
142     288
1059      3
1114    199
1248     55
119     131
756     284
